COMMAND,Client,Origin,PWD,"QD_CIPHER","QD_LTM",SessionID,TTY,USER,UserID,"_raw","_time",action,activeThreads,app,bytes,bytesRequested,bytesdiscarded,candidates,classloader,cleared,contextid,count,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",db,default,dest,"dest_host","dest_nt_domain",durationms,dynamicThreshold,enqueued,euid,eventtype,free,from,host,id,idlems,index,intervalms,lastid,lastname,linecount,"macro_fragmented",maxThreshold,name,"non_tlh",objects,"pam_module","pam_module_type",percent,pid,process,punct,reference,ruser,source,sourcetype,"splunk_server","splunk_server_group",src,"src_ip","src_user",success,system,systemtimems,tag,"tag::app","tag::eventtype","tag::sourcetype",tenureage,tenuremask,threadId,threadName,threads,tiltratio,timeendpos,timems,timestamp,timestartpos,tlh,total,totalBytes,totalBytesRequested,type,uid,unit,"unix_category","unix_group",user,usertimems,"vendor_action","vendor_product"
,,,,could,,,,,,"Oct 28 08:43:40 mpl-dstg0007x telegraf: 2020-10-28T13:43:40Z E! [agent] Error writing to outputs.influxdb: could not write any address","2020-10-28T13:43:40.000+0000",,,,,,,,,,,,8,28,43,october,40,wednesday,2020,local,,,,,,,,,,,,,"mpl-dstg0007x",,,os,,,,1,,,,,,,,,,telegraf,"__::_-_:_--::_!_[]____.:_____",,,"/var/log/messages",syslog,"mpl-spin0004x.surescripts.ext",,,,,,,,,,,,,,,,,,15,,,0,,,,,,,,"all_hosts",default,,,,
,,,,,"/localhost:8086]:",,,,,"Oct 28 08:43:40 mpl-dstg0007x telegraf: 2020-10-28T13:43:40Z E! [outputs.influxdb] when writing to [http://localhost:8086]: Post http://localhost:8086/write?db=telegraf: dial tcp 127.0.0.1:8086: connect: connection refused","2020-10-28T13:43:40.000+0000",,,,,,,,,,,,8,28,43,october,40,wednesday,2020,local,"telegraf:",,,,,,,,,,,,"mpl-dstg0007x",,,os,,,,1,,,,,,,,,,telegraf,"__::_-_:_--::_!_[.]____[://:]:__://:/?=:___...::_:",,,"/var/log/messages",syslog,"mpl-spin0004x.surescripts.ext",,,,,,,,,,,,,,,,,,15,,,0,,,,,,,,"all_hosts",default,,,,
,,,,,,,,,,"Oct 28 08:43:40 mpl-dstg0007x telegraf: 2020-10-28T13:43:40Z W! [outputs.influxdb] Metric buffer overflow; 54 metrics have been dropped","2020-10-28T13:43:40.000+0000",,,,,,,,,,,,8,28,43,october,40,wednesday,2020,local,,,,,,,,,,,,,"mpl-dstg0007x",,,os,,,,1,,,,,,,,,,telegraf,"__::_-_:_--::_!_[.]___;_____",,,"/var/log/messages",syslog,"mpl-spin0004x.surescripts.ext",,,,,,,,,,,,,,,,,,15,,,0,,,,,,,,"all_hosts",default,,,,
,,,,,,,,,,"  IPdropped   TCPrexmits   TCPreorder   TCPpktRecv   TCPpktSent   UDPpktLost   UDPunkPort   UDPpktRecv   UDPpktSent
          0     15147346          233   4754634456   17195311771            0         1604       185956       187537","2020-10-28T13:43:35.000+0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vpl-dstg0007x.surescripts.int",,,os,,,,2,,,,,,,,,,,"__________________________________________________",,,protocol,protocol,"vpl-spin0002x.surescripts.ext",,,,,,,,,,,,,,,,,,,,none,,,,,,,,,"all_hosts",default,,,,
"/sbin/pvs --noheadings --units b --nosuffix -o pv_name",,,"/home/zenoss",,,,unknown,root,,"Oct 28 08:43:35 vpl-dstg0007x sudo:  zenoss : TTY=unknown ; PWD=/home/zenoss ; USER=root ; COMMAND=/sbin/pvs --noheadings --units b --nosuffix -o pv_name,pv_size,pv_free","2020-10-28T13:43:35.000+0000",,,sudo,,,,,,,,,8,28,43,october,35,wednesday,2020,local,,,"vpl-dstg0007x.surescripts.int","vpl-dstg0007x.surescripts.int",,,,,,,,,"vpl-dstg0007x.surescripts.int",,,os,,,,1,,,,,,,,,,sudo,"__::_-_:___:_=_;_=//_;_=_;_=//_--_--__--_-_,,",,,"/var/log/secure","linux_secure","vpl-spin0002x.surescripts.ext",,,,,,,,,,,,,,,,,,16,,,0,,,,,,,,"all_hosts",default,,,,sudo
"/sbin/vgs --noheadings --units b --nosuffix -o vg_name",,,"/home/zenoss",,,,unknown,root,,"Oct 28 08:43:35 vpl-dstg0007x sudo:  zenoss : TTY=unknown ; PWD=/home/zenoss ; USER=root ; COMMAND=/sbin/vgs --noheadings --units b --nosuffix -o vg_name,vg_size,vg_free","2020-10-28T13:43:35.000+0000",,,sudo,,,,,,,,,8,28,43,october,35,wednesday,2020,local,,,"vpl-dstg0007x.surescripts.int","vpl-dstg0007x.surescripts.int",,,,,,,,,"vpl-dstg0007x.surescripts.int",,,os,,,,1,,,,,,,,,,sudo,"__::_-_:___:_=_;_=//_;_=_;_=//_--_--__--_-_,,",,,"/var/log/secure","linux_secure","vpl-spin0002x.surescripts.ext",,,,,,,,,,,,,,,,,,16,,,0,,,,,,,,"all_hosts",default,,,,sudo
,,,,,,,,,,"Oct 28 08:43:35 vpl-dstg0007x sudo: pam_unix(sudo:auth): auth could not identify password for [zenoss]","2020-10-28T13:43:35.000+0000",,,sudo,,,,,,,,,8,28,43,october,35,wednesday,2020,local,,,"vpl-dstg0007x.surescripts.int","vpl-dstg0007x.surescripts.int",,,,,,,,,"vpl-dstg0007x.surescripts.int",,,os,,,,1,,,,,,sudo,auth,,,sudo,"__::_-_:_(:):_______[]",,,"/var/log/secure","linux_secure","vpl-spin0002x.surescripts.ext",,,,,,,,,,,,,,,,,,16,,,0,,,,,,,,"all_hosts",default,,,,sudo
,,,,,,,,,,"Oct 28 08:43:35 vpl-dstg0007x sudo: pam_unix(sudo:auth): conversation failed","2020-10-28T13:43:35.000+0000",,,sudo,,,,,,,,,8,28,43,october,35,wednesday,2020,local,,,"vpl-dstg0007x.surescripts.int","vpl-dstg0007x.surescripts.int",,,,,,,,,"vpl-dstg0007x.surescripts.int",,,os,,,,1,,,,,,sudo,auth,,,sudo,"__::_-_:_(:):__",,,"/var/log/secure","linux_secure","vpl-spin0002x.surescripts.ext",,,,,,,,,,,,,,,,,,16,,,0,,,,,,,,"all_hosts",default,,,,sudo
"/sbin/vgs --noheadings -o vg_name",,,"/home/zenoss",,,,unknown,root,,"Oct 28 08:43:35 vpl-dstg0007x sudo:  zenoss : TTY=unknown ; PWD=/home/zenoss ; USER=root ; COMMAND=/sbin/vgs --noheadings -o vg_name,vg_attr","2020-10-28T13:43:35.000+0000",,,sudo,,,,,,,,,8,28,43,october,35,wednesday,2020,local,,,"vpl-dstg0007x.surescripts.int","vpl-dstg0007x.surescripts.int",,,,,,,,,"vpl-dstg0007x.surescripts.int",,,os,,,,1,,,,,,,,,,sudo,"__::_-_:___:_=_;_=//_;_=_;_=//_--_-_,",,,"/var/log/secure","linux_secure","vpl-spin0001x.surescripts.ext",,,,,,,,,,,,,,,,,,16,,,0,,,,,,,,"all_hosts",default,,,,sudo
"/sbin/pvs --noheadings -o pv_name",,,"/home/zenoss",,,,unknown,root,,"Oct 28 08:43:35 vpl-dstg0007x sudo:  zenoss : TTY=unknown ; PWD=/home/zenoss ; USER=root ; COMMAND=/sbin/pvs --noheadings -o pv_name,pv_attr","2020-10-28T13:43:35.000+0000",,,sudo,,,,,,,,,8,28,43,october,35,wednesday,2020,local,,,"vpl-dstg0007x.surescripts.int","vpl-dstg0007x.surescripts.int",,,,,,,,,"vpl-dstg0007x.surescripts.int",,,os,,,,1,,,,,,,,,,sudo,"__::_-_:___:_=_;_=//_;_=_;_=//_--_-_,",,,"/var/log/secure","linux_secure","vpl-spin0001x.surescripts.ext",,,,,,,,,,,,,,,,,,16,,,0,,,,,,,,"all_hosts",default,,,,sudo
